LATITUDE,LONGITUDE,FID,HFNAME,DISTRICT,VDC,WARD,TYPE
29.31,81.31,new+AF8-HF.42,Thanti HP,achham,THANTI,3,Health Post
29.31,81.25,new+AF8-HF.43,Babla SHP,achham,BABALA,9,Health Post
29.33,81.21,new+AF8-HF.44,Khaptad SHP,achham,KHAPTAD,2,Health Post
29.29,81.22,new+AF8-HF.45,Devisthan SHP,achham,DEVISTHAN,5,Health Post
29.28,81.24,new+AF8-HF.46,Ghughurkot SHP,achham,DHUDHARUKOT,6,Health Post
29.16,81.36,new+AF8-HF.47,Malatikot SHP,achham,MALATIKOT,1,Health Post
29.16,81.38,new+AF8-HF.48,Chafamandu SHP,achham,CHAPHAMANDAU,7,Health Post
29.17,81.39,new+AF8-HF.49,Shantada HP,achham,SANTADA,2,Health Post
29.2,81.41,new+AF8-HF.50,Bhatakatiya SHP,achham,BHATAKATIYA,5,Health Post
29.18,81.37,new+AF8-HF.51,Sutar SHP,achham,SUTAR,7,Health Post
29.21,81.43,new+AF8-HF.52,Ramaroshan SHP,achham,RAMAROSAN,5,Health Post
29.18,81.43,new+AF8-HF.53,Batulasen SHP,achham,BATULASEN,2,Health Post
29.16,81.34,new+AF8-HF.54,Kalagaun SHP,achham,KALAGAU,3,Health Post
29.14,81.33,new+AF8-HF.55,Bannatoli SHP,achham,BANNATOLI,7,Health Post
29.16,81.31,new+AF8-HF.56,Jupu HP,achham,JUPU,7,Health Post
29.15,81.28,new+AF8-HF.57,Oligaun SHP,achham,OLIGAU,9,Health Post
29.17,81.18,new+AF8-HF.58,Payal SHP,achham,PAYAL,5,Health Post
29.2,81.13,new+AF8-HF.59,Lungra SHP,achham,LUNGRA,7,Health Post
29.26,81.14,new+AF8-HF.60,Patalkot SHP,achham,PATALKOT,1,Health Post
29.24,81.25,new+AF8-HF.61,Mastamandu SHP,achham,MASTAMANDAU,7,Health Post
29.25,81.21,new+AF8-HF.62,Siddeshwor HP,achham,SIDDHESWOR,7,Health Post
29.26,81.18,new+AF8-HF.63,Budhakot SHP,achham,BUDHAKOT,7,Health Post
29.21,81.2,new+AF8-HF.64,Baijanath SHP,achham,BAIJINATH,6,Health Post
29.27,81.11,new+AF8-HF.65,Duni HP,achham,DUNI,2,Health Post
29.19,81.07,new+AF8-HF.66,Soukat HP,achham,SOUKAT,4,Health Post
29.23,81.19,new+AF8-HF.67,Shrikot HP,achham,JALAPADEVI,1,Health Post
29.2,81.28,new+AF8-HF.68,Jayagadh HP,achham,BARADADIVI,1,Health Post
29.1,81.28,new+AF8-HF.69,Janalibandali SHP,achham,JANALIBANDALI,6,Health Post
29.1,81.32,new+AF8-HF.70,Birpath SHP,achham,BIRPATH,4,Health Post
29.06,81.32,new+AF8-HF.71,Dhaku SHP,achham,DHAKU,5,Health Post
29.03,81.35,new+AF8-HF.72,Muli SHP,achham,BHULI,4,Health Post
29.03,81.41,new+AF8-HF.73,Bayala SHP,achham,BAYALA,6,Health Post
29.06,81.37,new+AF8-HF.74,Chalsa SHP,achham,CHALSA,6,Health Post
29.23,81.15,new+AF8-HF.75,Marku SHP,achham,MARKU,7,Health Post
27.97,83.13,new+AF8-HF.76,+ACI-District Hospital, Arghakhanchi+ACI-,arghakhanchi,SANDHIKHARKA,6,District Hospital
27.86,83.09,new+AF8-HF.77,Thada PHC,arghakhanchi,THADA,1,Primary Health Care Centre
27.97,83.24,new+AF8-HF.78,Balkot PHC,arghakhanchi,BALKOT,1,Primary Health Care Centre
28,83,new+AF8-HF.79,Asurkot SHP,arghakhanchi,ASURKOT,2,Health Post
28.02,83.04,new+AF8-HF.80,Dharapani HP,arghakhanchi,DHARAPANI,5,Health Post
28.09,83.02,new+AF8-HF.81,Gokhunga SHP,arghakhanchi,GORKHUNGA,9,Health Post
28.04,83,new+AF8-HF.82,Dhakawang HP,arghakhanchi,DHAKAWANG,3,Health Post
27.87,83.3,new+AF8-HF.83,Panena HP,arghakhanchi,PATHONA,4,Health Post
27.89,83.05,new+AF8-HF.84,Jukena SHP,arghakhanchi,JUKENA,5,Health Post
27.94,83.11,new+AF8-HF.85,Dhikura SHP,arghakhanchi,DHIKURA,4,Health Post
27.88,83.12,new+AF8-HF.86,Sitapur SHP,arghakhanchi,SITAPUR,5,Health Post
27.92,83.13,new+AF8-HF.87,Khanchikot HP,arghakhanchi,KHANCHIKOT,1,Health Post
27.91,83.29,new+AF8-HF.88,Khidim SHP,arghakhanchi,KHIDIM,3,Health Post
27.89,83.21,new+AF8-HF.89,Dhatibang SHP,arghakhanchi,DHATIWANG,8,Health Post
27.88,83.25,new+AF8-HF.90,Patauti SHP,arghakhanchi,PATHAUTI,1,Health Post
27.99,83.08,new+AF8-HF.91,Keemdada SHP,arghakhanchi,KEEMADADA,3,Health Post
27.81,83.16,new+AF8-HF.92,Simalpani SHP,arghakhanchi,SIMALAPANI,5,Health Post
28.04,83.09,new+AF8-HF.93,Bangi HP,arghakhanchi,BANGI,5,Health Post
28.02,83.1,new+AF8-HF.94,1500213101,arghakhanchi,ARGHA,2,Health Post
28.07,83.06,new+AF8-HF.95,Hansapur HP,arghakhanchi,HANSAPUR,1,Health Post
27.97,83.08,new+AF8-HF.96,Nuwakot HP,arghakhanchi,NUWAKOT,6,Health Post
27.99,83.02,new+AF8-HF.97,Khillji SHP,arghakhanchi,KHILJI,2,Health Post
27.93,83.23,new+AF8-HF.98,Pali SHP,arghakhanchi,PALI,4,Health Post
27.9,83.24,new+AF8-HF.99,Maidan SHP,arghakhanchi,MAIDAN,5,Health Post
27.91,82.96,new+AF8-HF.100,Jaluke HP,arghakhanchi,JULUKE,2,Health Post
27.94,83.18,new+AF8-HF.101,Adguri SHP,arghakhanchi,ADGURI,6,Health Post
27.93,83.06,new+AF8-HF.102,Dhanchaur SHP,arghakhanchi,DHANCHAUR,6,Health Post
27.95,83.15,new+AF8-HF.103,Narpani HP,arghakhanchi,NARAPANI,2,Health Post
27.89,83.28,new+AF8-HF.104,Pokharathok HP,arghakhanchi,POKHARATHOK,1,Health Post
27.96,83.27,new+AF8-HF.105,Chidika SHP,arghakhanchi,CHIDIKA,3,Health Post
27.86,83.15,new+AF8-HF.106,Subarnakhal HP,arghakhanchi,SUBARNAKHAL,1,Health Post
28.04,83.12,new+AF8-HF.107,Khana HP,arghakhanchi,KHAN,2,Health Post
27.86,82.97,new+AF8-HF.108,Siddhara HP,arghakhanchi,SIDDHARA,2,Health Post
28.04,83.19,new+AF8-HF.109,Arghatosh HP,arghakhanchi,ARGHATOS,4,Health Post
28.05,83.19,new+AF8-HF.110,Mareng HP,arghakhanchi,MARENG,5,Health Post
28.04,83.22,new+AF8-HF.111,Bhagawati HP,arghakhanchi,BHAGAWATI,7,Health Post
28.02,83.22,new+AF8-HF.112,Chhatraganj SHP,arghakhanchi,CHHATRAGANJ,5,Health Post
28.01,83.2,new+AF8-HF.113,Thulapokhara SHP,arghakhanchi,THULAPOKHARA,6,Health Post
28.06,83.13,new+AF8-HF.114,Khanadaha SHP,arghakhanchi,KHANDAHA,1,Health Post
27.97,83.18,new+AF8-HF.115,Wangla SHP,arghakhanchi,BANGLA,7,Health Post
28.01,83.15,new+AF8-HF.116,Divarna SHP,arghakhanchi,DIBHARNA,4,Health Post
27.99,83.22,new+AF8-HF.117,Kerunga SHP,arghakhanchi,KERUNGA,6,Health Post
27.97,83.12,new+AF8-HF.118,Mary Stoppes,arghakhanchi,SANDHIKHARKA,7,Other NGO Health Facility
27.98,83.13,new+AF8-HF.119,Supadeurali Pharmacy +ACY- Pathology,arghakhanchi,SANDHIKHARKA,6,Private Laboratory
27.86,83.09,new+AF8-HF.120,Subhadra Medical +ACY- Pandey Pathology,arghakhanchi,THADA,1,Private Laboratory
27.97,83.13,new+AF8-HF.121,Bimala Medical Clinic,arghakhanchi,SANDHIKHARKA,6,Private Clinics
27.95,83.13,new+AF8-HF.122,Arghakhanchi Poly Clinic,arghakhanchi,SANDHIKHARKA,6,Other Private HF
27.98,83.12,new+AF8-HF.123,Arghakhanchi Hospital Pvt. Ltd,arghakhanchi,SANDHIKHARKA,9,Private Hospital
28.27,83.6,new+AF8-HF.124,Dhaulagiri Zonal Hospital,baglung,BAGLUNG MUNICIPALITY,2,District Hospital
28.33,83.16,new+AF8-HF.125,Burtibang PHC,baglung,BURTIWANG,1,Primary Health Care Centre
28.24,83.42,new+AF8-HF.126,Galkot PHC,baglung,HARICHAUR,5,Primary Health Care Centre
28.18,83.62,new+AF8-HF.127,Kusmisera PHC,baglung,KUSMISHERA,4,Primary Health Care Centre
28.29,83.16,new+AF8-HF.128,Darling SHP,baglung,DARLING,3,Health Post
28.2,83.33,new+AF8-HF.129,Righa HP,baglung,RIGHA,4,Health Post
28.13,83.46,new+AF8-HF.130,Batakachaur SHP,baglung,BATAKACHAUR,3,Health Post
28.16,83.6,new+AF8-HF.131,Sarkuwa HP,baglung,SARKUWA,6,Health Post
28.15,83.62,new+AF8-HF.132,Arjewa SHP,baglung,ARJEWA,7,Health Post
28.16,83.57,new+AF8-HF.133,Rangkhani HP,baglung,RANGKHANI,1,Health Post
28.13,83.51,new+AF8-HF.134,Hugdisir HP,baglung,HUGDISHEER,3,Health Post
28.2,83.38,new+AF8-HF.135,Kandebas SHP,baglung,KANDEBAS,3,Health Post
28.22,83.65,new+AF8-HF.136,Paiyunpata HP,baglung,PAIYUNPATA,1,Health Post
28.16,83.57,new+AF8-HF.137,Paiyunthanthap SHP,baglung,PAIYUNTHANTHAP,4,Health Post
28.22,83.67,new+AF8-HF.138,Narayansthan SHP,baglung,NARAYANSTHAN,3,Health Post
28.17,83.63,new+AF8-HF.139,Binamare SHP,baglung,BINAMARE,4,Health Post
28.21,83.4,new+AF8-HF.140,Malma SHP,baglung,MALMA,6,Health Post
28.13,83.61,new+AF8-HF.141,Jaidi HP,baglung,DHULLUGAIDI,2,Health Post
28.14,83.53,new+AF8-HF.142,Dhullubaskot SHP,baglung,DHULLUBASKOT,4,Health Post
28.12,83.58,new+AF8-HF.143,Chhisti SHP,baglung,CHHISTI,7,Health Post
28.22,83.32,new+AF8-HF.144,Sisakhani SHP,baglung,SISAKHANI,2,Health Post
28.26,83.36,new+AF8-HF.145,Pandavkhani HP,baglung,PANDAVKHANI,8,Health Post
28.14,83.43,new+AF8-HF.146,Sukhaura SHP,baglung,SUKHAURA,5,Health Post
28.14,83.43,new+AF8-HF.147,Salyan HP,baglung,SALYAN,6,Health Post
28.2,83.64,new+AF8-HF.148,Amlachaur HP,baglung,AMALACHAUR,7,Health Post
28.29,83.44,new+AF8-HF.149,Argal SHP,baglung,ARGAL,2,Health Post
28.39,83.25,new+AF8-HF.150,Taman HP,baglung,TAMAN,3,Health Post
28.42,83.06,new+AF8-HF.151,Bowang SHP,baglung,BOWANG,8,Health Post
28.42,82.98,new+AF8-HF.152,Nisi SHP,baglung,NISI,8,Health Post
28.33,83.12,new+AF8-HF.153,Devisthan SHP,baglung,DEVISTHAN,5,Health Post
28.28,83.18,new+AF8-HF.154,Bhimgithe HP,baglung,BHIMGITHE,1,Health Post
28.4,83.2,new+AF8-HF.155,Bongadovan SHP,baglung,BONGADOVAN,1,Health Post
28.25,83.25,new+AF8-HF.156,Jaljala HP,baglung,JALJALA,4,Health Post
28.3,83.41,new+AF8-HF.157,Hila HP,baglung,HEEL,2,Health Post
28.24,83.23,new+AF8-HF.158,Gualichaur HP,baglung,GWALICHAUR,3,Health Post
28.38,83.05,new+AF8-HF.159,Boharagaun HP,baglung,BOHARAGAUN,5,Health Post
28.33,83.38,new+AF8-HF.160,Tara SHP,baglung,TARA,6,Health Post
28.37,83.12,new+AF8-HF.161,Adhikarichaur HP,baglung,ADHIKARICHAUR,8,Health Post
28.21,83.28,new+AF8-HF.162,Dagatundada SHP,baglung,DAGATUNDADA,4,Health Post
28.32,83.14,new+AF8-HF.163,Rajkut SHP,baglung,RAJKUT,3,Health Post
28.37,83.2,new+AF8-HF.164,Khunga SHP,baglung,KHUNGA,3,Health Post
28.44,83.23,new+AF8-HF.165,Khunkhani SHP,baglung,SUNKHANI,1,Health Post
28.29,83.25,new+AF8-HF.166,Ranasinkiteni SHP,baglung,RANASINKITENI,1,Health Post
28.28,83.53,new+AF8-HF.167,Bhimpokhara SHP,baglung,BHIMPOKHARA,7,Health Post
28.25,83.56,new+AF8-HF.168,Singana SHP,baglung,SINGANA,4,Health Post
28.24,83.51,new+AF8-HF.169,Lekhani SHP,baglung,LEKHANI,6,Health Post
28.25,83.58,new+AF8-HF.170,Tityang SHP,baglung,TITYANG,8,Health Post
28.21,83.48,new+AF8-HF.171,Dhudhilabhati SHP,baglung,DHUDHILABHATI,4,Health Post
28.26,83.45,new+AF8-HF.172,Amarbhumi SHP,baglung,AMARBHUMI,2,Health Post
28.24,83.6,new+AF8-HF.173,Bhakunde SHP,baglung,BHAKUNDE,5,Health Post
28.3,83.57,new+AF8-HF.174,Malika SHP,baglung,MALIKA,5,Health Post
28.26,83.51,new+AF8-HF.175,Binu HP,baglung,BIHUNKOT,4,Health Post
28.24,83.53,new+AF8-HF.176,Resha HP,baglung,RESH,4,Health Post
28.3,83.48,new+AF8-HF.177,Dhamja HP,baglung,DHAMJA,4,Health Post
28.22,83.45,new+AF8-HF.178,Narethanti,baglung,NARETHANTI,5,Health Post
28.19,83.58,new+AF8-HF.179,Damek HP,baglung,DAMEK,4,Health Post
28.22,83.58,new+AF8-HF.180,Rayadanda SHP,baglung,RAYADANDA,6,Health Post
28.28,83.58,new+AF8-HF.181,Mulpani SHP,baglung,BAGLUNG MUNICIPALITY,9,Health Post
28.27,83.56,new+AF8-HF.182,Palakot SHP,baglung,PALAKOT,1,Health Post
28.28,83.5,new+AF8-HF.183,Tangram SHP,baglung,TANGRAM,2,Health Post
28.22,83.43,new+AF8-HF.184,Dhamja HP,baglung,HATIYA,3,Health Post
28.28,83.57,new+AF8-HF.185,Mulpani SHP,baglung,BAGLUNG MUNICIPALITY,7,Health Post
28.33,83.16,new+AF8-HF.186,Prayoshala Prashikshan Poly Clinic,baglung,BURTIWANG,1,Private Clinics
28.27,83.6,new+AF8-HF.187,Satal Polyclinic,baglung,BAGLUNG MUNICIPALITY,2,Private Clinics
28.28,83.6,new+AF8-HF.188,Baglung Ankha Upachar Kendra,baglung,BAGLUNG MUNICIPALITY,11,Other NGO Health Facility
28.28,83.6,new+AF8-HF.189,+ACI-FPAN, Baglung+ACI-,baglung,BAGLUNG MUNICIPALITY,11,Other NGO Health Facility
28.27,83.6,new+AF8-HF.190,MCH Clinic,baglung,BAGLUNG MUNICIPALITY,2,Other Government HF
28.22,83.43,new+AF8-HF.191,Aarogya Hospital Pvt. Ltd.,baglung,HATIYA,3,Private Hospital
28.27,83.6,new+AF8-HF.192,Muktinath Pvt Hospital,baglung,BAGLUNG MUNICIPALITY,2,Private Hospital
28.27,83.14,new+AF8-HF.193,Darling SHP,baglung,DARLING,8,Health Post
29.56,80.42,new+AF8-HF.194,Kesharpur PHC,baitadi,MELAULI,2,Primary Health Care Centre
29.41,80.4,new+AF8-HF.195,+ACI-District Hospital, Baitadi+ACI-,baitadi,DASHARATHCHANDA MUNICIPALITY,1,District Hospital
29.42,80.65,new+AF8-HF.196,Patan PHC,baitadi,PATAN,9,Primary Health Care Centre
29.38,80.38,new+AF8-HF.197,Bilashpur SHP,baitadi,BISALPUR,6,Health Post
29.43,80.43,new+AF8-HF.198,Salena SHP,baitadi,SALENA,3,Health Post
29.38,80.37,new+AF8-HF.199,Udayadeb SHP,baitadi,UDAYADEB,6,Health Post
29.42,80.3,new+AF8-HF.200,Sarmali SHP,baitadi,SARMALI,1,Health Post
29.42,80.38,new+AF8-HF.201,Shivbanath SHP,baitadi,SHIBANATH,4,Health Post
29.43,80.42,new+AF8-HF.202,Maharudra SHP,baitadi,MAHARUDRA,1,Health Post
29.45,80.47,new+AF8-HF.203,Durgasthan HP,baitadi,DURGASTHAN,3,Health Post
29.42,80.65,new+AF8-HF.204,Siddhapur SHP,baitadi,SIDDHAPUR,4,Health Post
29.42,80.65,new+AF8-HF.205,Siddheswor SHP,baitadi,SIDDHESWOR,9,Health Post
29.46,80.55,new+AF8-HF.206,Silanga SHP,baitadi,SILANGA,2,Health Post
29.48,80.53,new+AF8-HF.207,Bhumeswor SHP,baitadi,BHUMESWOR,0,Health Post
29.56,80.42,new+AF8-HF.208,Basantapur HP,baitadi,BASANTAPUR,5,Health Post
29.46,80.55,new+AF8-HF.209,Sakar SHP,baitadi,SAKAR,5,Health Post
29.46,80.55,new+AF8-HF.210,Gujar SHP,baitadi,GUJAR,9,Health Post
29.41,80.5,new+AF8-HF.211,Kaipal SHP,baitadi,KAILPAL,5,Health Post
29.5,80.39,new+AF8-HF.212,Giregada HP,baitadi,GIREGADA,6,Health Post
29.5,80.39,new+AF8-HF.213,Raudidewal HP,baitadi,RAUDIDEWAL,3,Health Post
29.38,80.37,new+AF8-HF.214,Hadakot HP,baitadi,MATHAIRAJ,8,Health Post
29.68,80.7,new+AF8-HF.215,Rudreswor SHP,baitadi,RUDRESWOR,7,Health Post
29.4,80.33,new+AF8-HF.216,Gokuleshwor SHP,baitadi,GOKULESWOR,9,Health Post
29.65,80.61,new+AF8-HF.217,Dilasaini SHP,baitadi,DILASAINI,6,Health Post
29.61,80.69,new+AF8-HF.218,Hat HP,baitadi,HAT,3,Health Post
29.6,80.7,new+AF8-HF.219,Nwadeu SHP,baitadi,NWADEU,4,Health Post
29.56,80.42,new+AF8-HF.220,Kotpetara SHP,baitadi,KOTPETARA,6,Health Post
29.57,80.72,new+AF8-HF.221,Kotila SHP,baitadi,KOTILA,7,Health Post
29.6,80.74,new+AF8-HF.222,Kuwakot SHP,baitadi,KUWAKOT,3,Health Post
29.6,80.7,new+AF8-HF.223,Bhatana SHP,baitadi,BHATANA,2,Health Post
29.63,80.74,new+AF8-HF.224,Malladehi SHP,baitadi,MALLADEHI,9,Health Post
29.64,80.68,new+AF8-HF.225,Mahadevsthan SHP,baitadi,MAHADEVSTHAN,3,Health Post
29.56,80.73,new+AF8-HF.226,Bumiraj SHP,baitadi,BUMIRAJ,8,Health Post
29.49,80.5,new+AF8-HF.227,Joshibunga HP,baitadi,GWALLEK,5,Health Post
29.56,80.4,new+AF8-HF.228,Tripurasundari SHP,baitadi,DASHARATHCHANDA MUNICIPALITY,9,Health Post
29.58,80.41,new+AF8-HF.229,Thaligada SHP,baitadi,DASHARATHCHANDA MUNICIPALITY,6,Health Post
29.56,80.42,new+AF8-HF.230,Barakot SHP,baitadi,DASHARATHCHANDA MUNICIPALITY,10,Health Post
29.52,80.47,new+AF8-HF.231,Dehimandau SHP,baitadi,DEHIMANDAU,6,Health Post
29.56,80.42,new+AF8-HF.232,Dasharathchanda SHP,baitadi,DASHARATHCHANDA MUNICIPALITY,4,Health Post
29.56,80.42,new+AF8-HF.233,Nagarjun SHP,baitadi,NAGARJUN,3,Health Post
29.59,80.44,new+AF8-HF.234,Jaganath SHP,baitadi,DASHARATHCHANDA MUNICIPALITY,13,Health Post
29.4,80.3,new+AF8-HF.235,Kulau HP,baitadi,KULAU,2,Health Post
29.43,80.28,new+AF8-HF.236,Pancheswor SHP,baitadi,PANCHESWOR,2,Health Post
29.43,80.28,new+AF8-HF.237,Mahakali SHP,baitadi,MAHAKALI,1,Health Post
29.47,80.35,new+AF8-HF.238,Amchaur SHP,baitadi,AMCHAUR,1,Health Post
29.61,80.52,new+AF8-HF.239,Rim HP,baitadi,DHIKARIM/RIM,8,Health Post
29.61,80.52,new+AF8-HF.240,Sitad  SHP,baitadi,DHIKASINTAD/SITAD,7,Health Post
29.52,80.62,new+AF8-HF.241,Shankarpur HP,baitadi,SHANKARPUR,9,Health Post
29.56,80.42,new+AF8-HF.242,Gajari SHP,baitadi,GAJARI,2,Health Post
29.53,80.57,new+AF8-HF.243,Shikharpur SHP,baitadi,SHIKHARPUR,1,Health Post
29.46,80.55,new+AF8-HF.244,Rauleswor  SHP,baitadi,RAULESWOR,6,Health Post
29.53,80.56,new+AF8-HF.245,Maunali SHP,baitadi,MAUNALI,5,Health Post
29.56,80.42,new+AF8-HF.246,Basuling HP,baitadi,BASULING,6,Health Post
29.58,80.5,new+AF8-HF.247,Shreekot HP,baitadi,SREEKOT,2,Health Post
29.61,80.47,new+AF8-HF.248,Nwali SHP,baitadi,NWALI,4,Health Post
29.56,80.47,new+AF8-HF.249,Durgabhabani SHP,baitadi,DURGA BHABANI,0,Health Post
29.56,80.51,new+AF8-HF.250,Hatraj SHP,baitadi,HATAIRAJ,4,Health Post
29.55,80.43,new+AF8-HF.251,Gurukhola SHP,baitadi,GURUKHOLA,1,Health Post
29.59,80.45,new+AF8-HF.252,Sreekedar SHP,baitadi,SREE KEDAR,7,Health Post
29.59,80.51,new+AF8-HF.253,Deulek SHP,baitadi,DEULEK,5,Health Post
29.6,80.7,new+AF8-HF.254,Talladehi HP,baitadi,TALLADEHI,1,Health Post
29.57,80.62,new+AF8-HF.255,Bijayapur SHP,baitadi,BIJAYAPUR,7,Health Post
29.59,80.59,new+AF8-HF.256,Kataujpani SHP,baitadi,KATAUJPANI,5,Health Post
29.41,80.82,new+AF8-HF.257,Thalakanda HP,baitadi,THALAKANDA,1,Health Post
29.41,80.82,new+AF8-HF.258,Shivaling HP,baitadi,SHIVALING,9,Health Post
29.53,80.57,new+AF8-HF.259,Chaukham SHP,baitadi,CHAUKHAM,4,Health Post
29.47,80.81,new+AF8-HF.260,Dhungad SHP,baitadi,DHUNGAD,0,Health Post
29.47,80.81,new+AF8-HF.261,Shigas SHP,baitadi,SIGASH,4,Health Post
29.45,80.91,new+AF8-HF.262,+ACI-District Hospital, Bajhang+ACI-,bajhang,RITHAPATA,4,District Hospital
29.55,81.19,new+AF8-HF.263,Rayal PHC,bajhang,RAYAL,3,Primary Health Care Centre
29.52,80.82,new+AF8-HF.264,Deulekh PHC,bajhang,DEULEKH,2,Primary Health Care Centre
29.54,80.79,new+AF8-HF.265,Syadi SHP,bajhang,SYANDI,21,Health Post
29.5,80.86,new+AF8-HF.266,Sunkuda SHP,bajhang,SUNKUDA,4,Health Post
29.6,80.86,new+AF8-HF.267,Khiratadi HP,bajhang,KHIRATADI,1,Health Post
29.61,81.31,new+AF8-HF.268,Melbisauni HP,bajhang,MELBISAUNI,5,Health Post
29.49,80.9,new+AF8-HF.269,Banjh SHP,bajhang,BANJH,3,Health Post
29.44,80.94,new+AF8-HF.270,Dangaji SHP,bajhang,DANGAJI,6,Health Post
29.47,81,new+AF8-HF.271,Bhairabanath HP,bajhang,BHAIRABANATH,1,Health Post
29.5,81.04,new+AF8-HF.272,Chaudhari HP,bajhang,68007,7,Health Post
29.51,81,new+AF8-HF.273,Maulali SHP,bajhang,MAULALI,1,Health Post
29.6,81.35,new+AF8-HF.274,Dantola SHP,bajhang,DATOLA,7,Health Post
29.55,81.21,new+AF8-HF.275,Hemantabada SHP,bajhang,HEMANTABADA,1,Health Post
29.55,81.2,new+AF8-HF.276,Chainpur HP,bajhang,CHAINPUR,1,Health Post
29.53,81.17,new+AF8-HF.277,Luyanta HP,bajhang,LUYANTA,6,Health Post
29.61,81.26,new+AF8-HF.278,Dhamena SHP,bajhang,DHAMENA,5,Health Post
29.64,80.81,new+AF8-HF.279,Kaphalaseri SHP,bajhang,KAPHALASERI,4,Health Post
29.55,81.19,new+AF8-HF.280,Subeda SHP,bajhang,SUBEDA,3,Health Post
29.45,81.16,new+AF8-HF.281,Channa HP,bajhang,MAJHIGAU,6,Health Post
29.44,81.22,new+AF8-HF.282,Gadaraya SHP,bajhang,GADARAYA,5,Health Post
29.45,81.17,new+AF8-HF.283,Kalukheti SHP,bajhang,KALUKHETI,3,Health Post
29.46,81.14,new+AF8-HF.284,Lamatola SHP,bajhang,LAMATOLA,5,Health Post
29.44,81.19,new+AF8-HF.285,Patadewal SHP,bajhang,PATADEWAL,6,Health Post
