name,operator_type,opening_hours,phone_number,email_address,emergency_service,icu,nicu,operating_theatre,x_ray,ambulance_service,number_of_staff,number_of_Beds,Comments,type,lat,long
Aaragyodham Homiopathy Hospital,private,,"+977 61 432242, 430242, 9846068806",arogya2069@gmail.com,no,no,no,no,no,no,22,10,,hospital,83.99346105,28.2059256
Pashchimanchal Community Hospital,community,,061-438888,pchospital2071@gmail.com,yes,yes,yes,,,yes,66,50,,hospital,83.98825691,28.20893057
Parkland Hospital,private,24/7,061-431830/ 431930,parklandhospital@gmail.com,yes,yes,yes,yes,yes,yes,46,57,,hospital,84.00139522,28.20439145
OM Hospital Dignostic and Research Centre,private,09:00-16:00,061-534566;534577;534007,omhos@cnet.wlink.com.np,yes,yes,no,yes,yes,yes,56,65,,hospital,83.98993912,28.22279786
Hemja Hospital and Research Center,private,24/7,061-400055,,yes,no,no,,no,no,26,25,,hospital,83.93425549,28.27767739
Maternity Child Friendship Hospital,government,10:00-17:00,061-440144,,yes,no,no,,yes,yes,53,25,,hospital,83.9816106,28.25825639
Lekhnath Community Lions Hospital,community,24/7,"061 561366,9846114835",,,yes,no,,yes,yes,40,15,,hospital,84.07973878,28.16537235
Green Pasture,NGO,,+977 61 430342,clinical.pmelo@kaski.nepal.inf.org,no,no,no,no,no,no,111,66,,hospital,83.98838702,28.19239565
Kaski Model Hospital,private,,"+977 61 527542, 539803",modelhospital@yahoo.com,yes,yes,no,,yes,yes,66,37,,hospital,83.98673123,28.22139289
Pokhara Hospital and Research Centre,private,,"061-521924, 528243",pkrhospital55@gmail.com,yes,yes,no,,yes,no,48,25,,hospital,83.99235185,28.20699503
Spark B and D Hospital,private,,+977 61 521408,info@sparkhealth.com.np,no,no,no,no,no,no,23,15,,hospital,83.9833492,28.21199353
Namaste Hospital and Research Center,private,,"+977 61 466438, 466439",namastehospital@gmail.com,yes,yes,no,,,yes,95,60,,hospital,83.97204095,28.19320573
Lekhnath City Hospital,private,24/7,"061-411167, 061-411511",hrofkh@gmail.com,yes,yes,yes,,yes,no,25,25,,hospital,84.03649528,28.1841948
Sishuwa Hospital,government,24/7,61560004,shishuwahospital@gmail.com,yes,no,no,,yes,yes,25,15,,hospital,84.0660882,28.1659898
Annapurna Bal Tatha Mahila Hospital,private,24/7,061 501140,annapurnahealthfoundation@gmail.com,,yes,yes,,yes,no,28,15,,hospital,84.0059428,28.2031193
Janapriya Hospital,private,24/7,061-534125,,yes,no,no,,yes,no,15,25,,hospital,83.9769179,28.2066295
Nepal Family Planning Office,,"Su-Th 10:00-16:00, Fr 10:00-15:00",61520436,,,,,,,,,,,clinic,84.00196904,28.2096182
Sardi Khola Polyclinic,,,,,,,,,,,,,,clinic,83.9877724,28.242155
Tulsi Clinic,private,,,,,,,,,,,,,clinic,83.992993,28.20868083
Pokhara Clinic,,,,,,,,,,,,,,clinic,83.99122653,28.22503073
Pokhara Medical Hall,,,,,,,,,,,,,,clinic,83.9913059,28.22546988
Medha Cardiac Care and Diagnostic Center,private,Su-Fr 07:00-19:00; Sa 07:00-10:00,61525237,medhacardiaccare@gmail.com,,,,,,,,,,clinic,83.98981028,28.21695678
Yuni Chinese Acupuncture Centre,,,,,,,,,,,,,,clinic,83.9747593,28.21329662
"Skin, STD and Laser Clinic",private,,061524532; 061534457,,,,,,,,,,,clinic,83.98481625,28.22541113
Lion Hospital,,,+977 9847600356,,,,,,,,,,,clinic,83.97958123,28.22371223
Pokhara Cancer Care Center,,,,,,,,,,,,,,clinic,83.97349383,28.20834182
Prakriti Ayurbed Bhawan,,,,,,,,,,,,,,clinic,83.99022605,28.2229316
Bibhuti Health Care,private,Su-Sa 7:00-20:00,"061-467188, 467190",,,,,,,,,,,clinic,83.97050328,28.19653993
Sunrise Optical House,,7:30-17:00,9846719013,,,,,,,,,,,clinic,83.9834545,28.24334465
The Child Specialist's Clinic,,"Su-Fr 07:00-09:30,14:30-19:30",061-534125,,,,,,,,,,,clinic,83.97709755,28.2067079
Primary Health Care Clinic,,,,,,,,,,,,,,clinic,83.9565597,28.18638405
Sapana Ayurbed Hospital,,,,,,,,,,,,,,clinic,83.99021135,28.22231832
Medical,,,,,,,,,,,,,,clinic,83.99590053,28.1859728
Annapurna Samudaika Swasthya Kendra,,,,,,,,,,,,,,clinic,84.04145196,28.14678471
Lamgadi Saptayek Health Clinic,,,,,,,,,,,,,,clinic,84.08029955,28.1243073
Doctor's Clinic,,"08:00-11:00,03:00-08:00",,,,,,,,,,,,clinic,83.9654401,28.2070547
Ortho Clinic,,,,,,,,,,,,,,clinic,83.9835997,28.2107109
Geno Doctors Centre,,,"061-534915, 534916",,,,,,,,,,,clinic,83.9839674,28.24343
Ashish Medical Hall,,,,,,,,,,,,,,clinic,83.9858903,28.2335866
Diabetic And Thyroid Upachar Kendra,,,,,,,,,,,,,,clinic,83.9859952,28.2149908
Life Care Diagnostics,,,61521884,,,,,,,,,,,clinic,83.9860394,28.2150913
Meri Prajanan Swasthya Sewa,,,"061-539880, 9856039984",,,,,,,,,,,clinic,83.9839636,28.2071158
Pokhara Cancer Centre,private,,,,,,,,,,,,,clinic,83.9864291,28.2169157
Pokhara Healthy Home care,,,,,,,,,,,,,,clinic,83.9864633,28.2171639
Rejuwa Skin Care Clinic,,,,,,,,,,,,,,clinic,83.98647,28.2171799
Skin And Laser Centre,,,,,,,,,,,,,,clinic,83.9866572,28.2179495
Global Medical Hall,,,,,,,,,,,,,,clinic,83.9841069,28.2433483
Pokhara Diabetes and Thyroid,,,061-523808,,,,,,,,,,,clinic,83.9868459,28.2115233
Advanced Poly Clinic,,,,,,,,,,,,,,clinic,83.9853393,28.2137053
Brighter Clinic,,,,,,,,,,,,,,clinic,83.987605,28.2397716
International Medicare and Assistance Centre,,Mo-Su 07:30-21:00,,internationalmedicarepkr@gmail.com,,,,,,,,,,clinic,83.9649744,28.2110532
Shrijana Medical Swastha Clinic,,7 AM-8 PM,,,,,,,yes,,,,,clinic,83.9727979,28.261071
,,,,,,,,,,,,,,clinic,83.9838932,28.2138299
Shardikhola Polyclinic,,,,,,,,,,,,,,clinic,83.9888073,28.2433386
Gau Ghar Clinic,,,,,,,,,,,,,,clinic,83.953617,28.279375
Begnas Health Clinic,,,9856066133,,,,,,,,,,,clinic,84.0884868,28.164566
Kahukhola Poli Clinic,,,,,,,,,,,,,,clinic,84.0186275,28.2159314
Pokhara Healthy Homes,,,,,,,,,,,,,,clinic,83.9886462,28.2434124
Sahara International Fertilty Centre ,,,,,,,,,,,,,,clinic,83.9800511,28.2251233
Nidan Aayurbed Clinic,,,,,,,,,,,,,,clinic,83.9822368,28.2319723
Dun-sel Clinic,,,,,,,,,,,,,,clinic,83.9572236,28.2622624
Aarogya Bhawan Health Care Home,,Morning 6:30 AM-9 AM Evening 5:30 PM-9 PM,061-440522,,,,,,,,,,,clinic,83.9701876,28.2627601
Kathmandu Clinic Of Cosmetic Surgery,,,,,,,,,,,,,,clinic,83.9856961,28.2134644
Mamata Polyclinic ,,,"061 561042,9856031011",,,,,,yes,,,,,clinic,84.0685261,28.1634077
Siddartha Pathology Clinic,,,61530563,,,,,,,,,,,clinic,83.9860316,28.2182516
Pancham Aayurbed Clinic,,,,,,,,,,,,,,clinic,83.9932173,28.2062034
Jyoti Ankha Clinic and Chasma Pasal,,,,,,,,,,,,,,clinic,83.9885816,28.2424875
Rupa Swasthya Clinic,,,,,,,,,,,,,,clinic,84.0575162,28.1630751
Diwa Swastya Clinic,,,,,,,,,,,,,,clinic,84.0120821,28.2038818
Pokhara Super Speciality Health Clinic,,,,,,,,,,,,,,clinic,83.9849047,28.2114775
Magic Medico Concern,,Su-Fr 09:00-18:00,,,,,,,,,,,,clinic,83.9745301,28.2058021
Lekhnath City Polyclinic,,,,,,,,,,,,,,clinic,84.0610401,28.1552198
Padmashree Homeo Clinic,,,,,,,,,,,,,,clinic,83.986655,28.2179173
Bastola Medical Hall,,,,,,,,,,,,,,clinic,83.936195,28.2783361
Hemja Medical Hall,,,,,,,,,,,,,,clinic,83.8994362,28.2867923
Ratna Medical Hall,,,,,,,,,,,,,,clinic,83.922282,28.283384
Diamond Medical Hall,,,,,,,,,,,,,,clinic,83.9541775,28.2894808
Gandaki Gastro Liver and Endoscopy Clinic,,8:00-17:00,061-521865,,,,,,,,,,,clinic,83.9858128,28.2141522
Himalaya Polyclinic & Diagnostic Centre,,7:00- 20:30,,,,,,,,,,,,clinic,83.9797794,28.2246334
Safal Skin Care & Laser Clinic,,,061-524932; 061-534497,,,,,,,,,,,clinic,83.9847768,28.225173
Siddhartha Health Care ,,7:00- 19:00,,,,,,,,,,,,clinic,83.984602,28.2242783
Manisona Health Care ,,,061-531725,,,,,,,,,,,clinic,83.9907215,28.2291974
Healthy Home Fittness Clinic,,,"061-523258, 9851065764",,,,,,,,,,,clinic,83.9859525,28.2147654
Kayakalpa Diet Clinic,,,,,,,,,,,,,,clinic,83.9881069,28.2214638
Uniwue Medical Hall,,,,,,,,,,,,,,clinic,84.0824106,28.1326185
Pratima Medical Hall,,,,,,,,,,,,,,clinic,84.0817762,28.1326516
Kisor Kisori Maitri Youn Tatha Prajanan Swasthya Seba Clinic,,Su-Sa PH closed,,,,,,,,,,,,clinic,84.0297273,28.1338733
Hemja Policlinic,,,,,,,,,,,,,,clinic,83.9362878,28.2776599
Mata Manakamana Aayurveda Clinic,,,,,,,,,,,,,,clinic,83.9908726,28.219589
Haribasu Neuro Ortho Physiotherapy Clinic,,,9867690641,,,,,,,,,,,clinic,83.9887643,28.2127539
Gandaki Imaging & Diagnostic Center,,,"061-532963, 061-531847",,,,,,,,,,,clinic,83.991013,28.2230574
Gastro Care,,,061-535560,,,,,,,,,,,clinic,83.9845036,28.20798
Dipendra Medical Hall,,,,,,,,,,,,,,clinic,83.9833901,28.2323463
Dolphin Dental Care,private,,061-533742,,,,,,,,,,,clinic,83.9846573,28.2116302
Marie Stopes Nepal,,,061-550074,,,,,,,,,,,clinic,83.9836513,28.2106696
United Reference Laboratory,private,6:30-19:00,061-520503,,,,,,,,,,,clinic,83.9847725,28.2111015
Young Friendly Sex and Fertility Clinic,,13:00-15:00,,,,,,,,,,,,clinic,83.8891923,28.2390827
Sahi Medical Hall,,,,,,,,,,,,,,clinic,84.0124914,28.214203
Kuwan Medical,,,,,,,,,,,,,,clinic,84.0114765,28.2103676
New Gandaki Pathology Service,,,,,,,,,,,,,,clinic,84.0025599,28.2169819
Sai Ram Medical Hall,,,,,,,,,,,,,,clinic,83.9627109,28.2574297
Lakecity Ayurved & Gandaki Physiotherapy Centre,,,,,,,,,,,,,,clinic,84.0593056,28.1627934
Nagar Swasthya Kendra 15,government,Su-Fr10:00-16:00,061-431180,,,,,,,,,,,health_post,83.98676638,28.20027419
Kalika Health Post,government,,9846041599,,,,,,,,,,,health_post,84.07558588,28.2134333
Bharatpokhari Health Post,government,Su-Th 10:00-17:00 Fr 10:00-15:00,9856018926,,,,,,,,,,,health_post,84.02982992,28.13382495
Nagar Swasthya Kendra 14,government,,9846947630,,,,,,,,,,,health_post,84.02288998,28.17821555
Armala Prathamik Swastha Kendra,government,,,,,,,,,,,,,health_post,83.99414647,28.28846283
Nagar Swasthya Kendra 5,government,,9846269960,,,,,,,,,,,health_post,83.97656275,28.21789445
Arba Bijaya Health Post,government,,,,,,,,,,,,,health_post,84.03560673,28.2261526
Valam Health Post,government,,,,,,,,,,,,,health_post,84.0093557,28.25445908
Kristi Primary Health Post,government,"Su-Th 10:00-17:00, Fr 10:00-15:00","9843139379, 9856069563",,yes,,,,yes,,16,,,health_post,83.9521856,28.15975865
Sarangkot Health Post,government,Su-Th 10:00-16:00; Fr10:00-13:00,061-692855,,,,,,,,,,,health_post,83.9420373,28.244972
Bhadaure Health Post,,,,,,,,,,,,,,health_post,83.87312518,28.24584195
Lekhnath Health Post,government,,,,,,,,,,,,,health_post,84.06905565,28.1936025
Nagar Swasthya Kendra 30,governmnet,,9846771362,,,,,,,,,,,health_post,84.08582443,28.14178868
Nagar Swasthya Kendra 32,government,,98463343374,,,,,,,,,,,health_post,84.09977355,28.1353197
Bhadaure Health Post,government,,,,,,,,,,,,,health_post,83.83147463,28.23749685
Nagar Swasthya Kendra 32,governmnet,,9846637737,,,,,,,,,,,health_post,84.10881045,28.11467258
Nagar Swasthya Kendra 32,government,,9856061655,,,,,,,,,,,health_post,84.09593945,28.1135569
Nirmal Pokhari Health Post,governmnet,,"9846040180, 9856011460",nirmalpokharihp@gmail.com,,,,,,,7,,,health_post,83.9972817,28.15281885
Tallakot Health Post,government,,,,,,,,,,,,,health_post,83.95777945,28.30850663
Majhthana Health Post,government,"Su-Th 10:00-17:00, Fr 10:00-15:00",9827160760,,,,,,,,,,,health_post,84.10458505,28.21177478
Lamachour Health Post,government,,,,,,,,,,,,,health_post,83.9671867,28.2658385
Nagar Swasthya Kendra 17,government,"Sa,PH 10:00-17:00 closed",,,,,,,,,,,,health_post,83.9675062,28.1912849
Nagar Swasthya Kendra 1,government,,9846200726,,,,,,,,,,,health_post,83.9863205,28.2417117
Nagar Swasthya Kendra 13,government,,9846463817,,,,,,,,,,,health_post,84.0117374,28.211809
Kahun Health Post,,,,,,,,,,,,,,health_post,83.9996835,28.2219615
Hemja Health Post,,,,,,,,,,,,,,health_post,83.9364776,28.2780901
Kaskikot Health Post,government,,,,,,,,,,,,,health_post,83.907732,28.2660525
Mauja Health Post,government,,9868372717,,,,,,,,,,,health_post,84.0445883,28.2718265
Nagar Swasthya Kendra 19,government,,9856080333,,,,,,,,,,,health_post,83.9590048,28.3007403
Rakhi Health Post,government,10:00-17:00,9847381283,,,,,,,,,,,health_post,84.0437177,28.2039992
Nagar Sawsthya Kendra 31,,,,,,,,,,,6,,,health_post,84.1143714,28.1829199
Chapakot Health Post,government,,,,,,,,,,,,,health_post,83.8892519,28.2391483
Pokhara Health Post,government,,9841505252,,,,,,,,,,,health_post,83.9124544,28.2069858
Nagar Swasthya Kendra 8,government,,9846913349,,,,,,,,,,,health_post,83.9811172,28.2109706
Nagar Swasthya Kendra 33,government,,,,,,,,,,,,,health_post,84.07772,28.1237126
Nagar Swasthya Kendra 31,government,,,,,,,,,,,,,health_post,84.1006047,28.1609845
Begnas Health Post,government,,,,,,,,,,,,,health_post,84.0894037,28.1651581
Kaskeli Pharmacy,,,,,,,,,,,,,,pharmacy,83.9182249,28.2658254
Savi Medical Hall,,7:00-21:00,9846041458,,,,,,,,,,,pharmacy,83.9957086,28.19781555
Paschimanchal Pathalogy Centre,,,"061-538460, 9856025919",,,,,,,,,,,pharmacy,83.9980773,28.2113074
Swostika Referral Laboratory,,,061-541575,,,,,,,,,,,pharmacy,83.9982417,28.21136553
Medicare Pharmacy,,,,,,,,,,,,,,pharmacy,83.99974048,28.2123299
Khadka Medico Pharma,,,,,,,,,,,,,,pharmacy,83.99077235,28.22321635
Kiran Homiyo Pharmacy,,,9804193027,,,,,,,,,,,pharmacy,83.99545624,28.20208504
Rara Pharmacy,,,,,,,,,,,,,,pharmacy,83.98336715,28.276061
Bisistha Pharmacy,,07:00-19:00,,,,,,,,,,,,pharmacy,83.98333075,28.2759938
Majheripatan Medical,,,,,,,,,,,,,,pharmacy,84.0248577,28.1734683
Shantinagar Pharmacy,,sunrise-sunset,,,,,,,,,,,,pharmacy,83.9726408,28.21368863
Shulav Medical Hall,,Su-Sa 7:00-19:00,,,,,,,,,,,,pharmacy,84.02479228,28.18583965
Janahit Pharmacy,,,,,,,,,,,,,,pharmacy,83.98470195,28.23066068
Ruhani Pharmacy,,,,,,,,,,,,,,pharmacy,83.98495572,28.23149992
Sagun Medical HAll,,6:00-20:00,,,,,,,,,,,,pharmacy,83.98457334,28.23100409
Tejaswi Pharmacy,,,,,,,,,,,,,,pharmacy,84.0109263,28.20035143
Aagan Pharmacy.,,,,,,,,,,,,,,pharmacy,83.9770273,28.25788905
Kriti Ayurbedic Medi Sales,,,061-524754,,,,,,,,,,,pharmacy,83.98902483,28.22831205
Shubham Krishna Ayurvedik Pasal,,,,,,,,,,,,,,pharmacy,83.98856833,28.22837495
Bidhya Ayurbed Centre,,,,,,,,,,,,,,pharmacy,83.98847445,28.2284028
Sumeru Ayurbedic Clinic,,,,,,,,,,,,,,pharmacy,83.98617735,28.22994045
Shrada Ayurbed Pharm,,,,,,,,,,,,,,pharmacy,83.98900926,28.22804008
Resham Ayurbedic and Ausadhi Pasal,,,,,,,,,,,,,,pharmacy,83.9883545,28.22848045
Aana Medical Hall,,,,,,,,,,,,,,pharmacy,83.99041825,28.2232906
Binayak Medico Pharma,,,,,,,,,,,,,,pharmacy,83.98945527,28.22137783
Bhagwati Pharm,,,,,,,,,,,,,,pharmacy,83.98956258,28.2209732
Bandana Medicine Distributors,,,,,,,,,,,,,,pharmacy,83.9892497,28.22104127
Ram Medical Hall,,,,,,,,,,,,,,pharmacy,84.00045908,28.23056088
Lama Chautara Pharmacy,,,,,,,,,,,,,,pharmacy,83.94896653,28.26918563
Sajha Swastha Sewa,,,,,,,,,,,,,,pharmacy,83.99944138,28.21226965
Nabin Pharmacy and Doctor's Clinic,,6:00-21:00,,,,,,,,,,,,pharmacy,84.08287565,28.133207
Dadakonaak Pharmacy,,,,,,,,,,,,,,pharmacy,84.06781771,28.16512759
Prajwala Pharmacy,,,,,,,,,,,,,,pharmacy,83.97188725,28.2608662
Nabmo Buddha Pharmacy,,9:00 - 19:00,,,,,,,,,,,,pharmacy,83.98887655,28.22864503
Shreena Pharmacy,,,9846279966,,,,,,,,,,,pharmacy,83.99947568,28.2122085
Ayush Medical Hall,,07:00-19:00,9803737591,,,,,,,,,,,pharmacy,83.9940522,28.28879935
Pratikshya Pharma,,,,,,,,,,,,,,pharmacy,83.9708922,28.2006536
Shreyas Pharmacy,,,,,,,,,,,,,,pharmacy,83.9684625,28.205673
Pharmacy,,,,,,,,,,,,,,pharmacy,83.9658547,28.2041255
Medical,,,,,,,,,,,,,,pharmacy,84.0039992,28.1769902
Biswas Medical Hall,,,,,,,,,,,,,,pharmacy,83.9743602,28.2166444
Jana Kalyan Mediacal Hall,,,,,,,,,,,,,,pharmacy,83.9947621,28.2063566
Chiraayu Medical,,,,,,,,,,,,,,pharmacy,83.9878743,28.2399008
Kafle Medical,,,,,,,,,,,,,,pharmacy,83.987456,28.2396609
Pokhreli Ayurvedic Medical,,,,,,,,,,,,,,pharmacy,83.9857987,28.2378926
Shrensya Medical,,,,,,,,,,,,,,pharmacy,83.9860129,28.238353
Dipu Pharmacy,,,,,,,,,,,,,,pharmacy,83.998047,28.2113993
Pari Drug House,,,,,,,,,,,,,,pharmacy,83.9983693,28.2114818
Prayogshala Lab,,,,,,,,,,,,,,pharmacy,83.9980113,28.2113933
Rakshya Pharmacy,,,,,,,,,,,,,,pharmacy,83.9981253,28.2113943
Sumi Pharmacy,,,061-522139,,,,,,,,,,,pharmacy,83.998273,28.2114351
Yeti Med Corners,,,061-532533,,,,,,,,,,,pharmacy,83.9981557,28.2114002
Aadhikhola Medical Hal,,,061-432558,,,,,,,,,,,pharmacy,83.9950805,28.2026441
Birgha Pharmacy,,,"061-2298420, 9856029138",,,,,,,,,,,pharmacy,83.9946874,28.2056219
Anish Medical Hall,,07:00-19:00,,,,,,,,,,,,pharmacy,83.9802008,28.2710071
Saino Medical Hall,,,,,,,,,,,,,,pharmacy,83.9716058,28.2153924
Shiwani Pharmacy,,,,,,,,,,,,,,pharmacy,83.9697742,28.2162373
Aatish Medico Pharma,,,,,,,,,,,,,,pharmacy,83.9766361,28.2183747
PCH pharmacy,,,,,,,,,,,,,,pharmacy,83.988354,28.2086308
Ajay Pharmacy,,,,,,,,,,,,,,pharmacy,84.0593869,28.163169
Life Pharmacy,,,,,,,,,,,,,,pharmacy,84.0682382,28.16359
Rudra Medical Pharma,,,,,,,,,,,,,,pharmacy,84.0571996,28.1635681
Balika Pharmacy and Dental Clinic,,,,,,,,,,,,,,pharmacy,83.9910548,28.2193191
Panchanga Aayurveda Pharmacy,,,,,,,,,,,,,,pharmacy,83.9903981,28.2266448
Kamala Medical Hall,,,,,,,,,,,,,,pharmacy,84.0141979,28.2077581
Nirjin Medical Hall,,,,,,,,,,,,,,pharmacy,84.0096181,28.2086911
Apollo Medical Hall,,,,,,,,,,,,,,pharmacy,83.9984829,28.2116612
Machhepuchhre Herbal,,,,,,,,,,,,,,pharmacy,83.994778,28.2102215
Nature Care Home,,,,,,,,,,,,,,pharmacy,83.9931234,28.2070723
Aadaar Satkaar Pharmacy,,,,,,,,,,,,,,pharmacy,83.9944537,28.2060333
Metrocity Hospital Pharmacy,,,,,,,,,,,,,,pharmacy,83.9815341,28.211771
Bimal Ausadhi Pasal,,,,,,,,,,,,,,pharmacy,84.1093783,28.1357729
Pame Doctor's Clinic,,,,,,,,,,,,,,pharmacy,83.9095519,28.2357566
Gautam Aausadhi Pasal,,,,,,,,,,,,,,pharmacy,83.9085259,28.2362434
Regional Hospital Pharmacy,,Sa-Su 00:00-24:00,,,,,,,,,,,,pharmacy,83.9754241,28.2141708
Ramakanta Pharmacy,,,,,,,,,,,,,,pharmacy,83.9901472,28.227308
Kaligandaki Medical Pharma,,,,,,,,,,,,,,pharmacy,83.9906191,28.2232738
Srijan Median Sales,,,,,,,,,,,,,,pharmacy,83.9906466,28.223269
Aayu Pharmacy,,,061-523376,,,,,,,,,,,pharmacy,83.9851261,28.2092575
Subekshya Medical Hall,,,,,,,,,,,,,,pharmacy,83.9849104,28.2089731
BL Pathology,,,,,,,,,,,,,,pharmacy,83.9903625,28.2233371
Bishwash Medical Hall,,,,,,,,,,,,,,pharmacy,83.9904687,28.2233068
Pokhara Pharmacy,,,,,,,,,,,,,,pharmacy,83.9903521,28.2233392
SRL Ranbay Diagonstics,,,,,,,,,,,,,,pharmacy,83.9903155,28.2233449
Syangja Medical Center,,,,,,,,,,,,,,pharmacy,83.9908875,28.2232097
Bhattarai Clinic,,,,,,,,,,,,,,pharmacy,83.9772681,28.2211198
Koirala Pharmacy,,,,,,,,,,,,,,pharmacy,84.0192482,28.2160918
Shrestha Medical,,,,,,,,,,,,,,pharmacy,84.0187741,28.2161159
Prasiddha Pharma,,,,,,,,,,,,,,pharmacy,84.0199821,28.2157736
Dudhpokhari Pharmacy,,,,,,,,,,,,,,pharmacy,84.0290993,28.2171606
Chowk Pharma,,,,mnr.p1994@gmail.com,,,,,,,,,,pharmacy,83.997417,28.234875
Dhovan Pharma,,,,,,,,,,,,,,pharmacy,83.997609,28.2345965
Sachin Pharma,,,,,,,,,,,,,,pharmacy,83.997663,28.2344715
Shakar Pharma,,,,,,,,,,,,,,pharmacy,83.9974849,28.2347661
Ram Medical Hall,,,,,,,,,,,,,,pharmacy,83.997384,28.2349463
Yeusikaa Medical Hall,,Su-Sa 7:00-21:00,9856021418,,,,,,,,,,,pharmacy,84.0412216,28.1463195
Indus Pharma (Medical Hall),,,,,,,,,,,,,,pharmacy,83.9905712,28.2238485
Sewa Medical,,8:00-20:00,9819127404,,,,,,,,,,,pharmacy,83.9734631,28.1865956
Sujan Medical Hall,,,,,,,,,,,,,,pharmacy,83.9706258,28.1920811
Biraj Eye Clinic,,10:00-16:00,,,,,,,,,,,,pharmacy,83.9884903,28.2087376
Siddheshor Medical Hall,,,984610593,,,,,,,,,,,pharmacy,83.9957113,28.201054
Aaush Medical Hall,,,,,,,,,,,,,,pharmacy,83.9962342,28.1913528
Parkland Hospital Pharmacy,,,,,,,,,,,,,,pharmacy,84.0012831,28.2045828
Deep Jyoti Medical Hall,,,"9846513357, 061-550017",,,,,,,,,,,pharmacy,83.9855421,28.2092934
Kafle Medical Hall,,,,,,,,,,,,,,pharmacy,83.987553,28.2397402
Satish Farms and Medical Hall,,,,,,,,,,,,,,pharmacy,83.9849404,28.2306912
Chhatra Medical Hall,,,,,,,,,,,,,,pharmacy,83.9776709,28.2208686
Koirala Pharmacy,,,,,,,,,,,,,,pharmacy,83.9787498,28.2224054
Diya Medical Hall,,,,,,,,,,,,,,pharmacy,83.9802324,28.2246033
New Pokhara Pharmacy,,,,,,,,,,,,,,pharmacy,83.9948986,28.2188505
Fewa City Hospital Pharmacy,private,24/7,,,,,,,,,,,,pharmacy,83.9813922,28.2066135
Dip Jyoti Homiyo Pharmacy,,,9846197347,,,,,,,,,,,pharmacy,83.9953359,28.2031324
Kiran Gurung Medical Hall,,,061-431798,,,,,,,,,,,pharmacy,83.9949257,28.2014204
New Subharaj Medical Hall,,,061-430819,,,,,,,,,,,pharmacy,83.9950938,28.2012586
