name,operator_type,opening_hours,phone_number,email_address,number_of_employees,number_of_students,comments,type,lat,long
Nawa Jeewan Montessory,private,,61442150,suchi_jiwan00@yahoo.com,,,,kindergarten,28.25959526,83.97072613
Bluesky Pre-School And Child Care,private,,061-621260,,,,,kindergarten,28.18833732,83.97085768
Holyland Montessori Pre-School,private,,061-466422,,,,,kindergarten,28.19184817,83.9724666
Kids Home Montessori,private,,061-534412,,,,,kindergarten,28.19325542,84.02145926
Merryland Kids Montessori,private,,061-431065,,,,,kindergarten,28.197115,83.9949955
Horizon Montessori Homes,private,,061-695587,,,,,kindergarten,28.18100459,84.01152522
Dreamland Montessori,private,,061-432120,,,,,kindergarten,28.20238593,84.0055422
Children Glory Montessori,,,61528070,,12,90,,kindergarten,28.23591939,83.98393426
Lakecity Montessori and Academy,private,,061 411382,,,,,kindergarten,28.17658355,84.04902143
Bhaidam Balbatika,private,,9846566709  9846087588,,,,,kindergarten,28.20620156,83.96768426
Buddha Montessori,private,,9846044394,,,,,kindergarten,28.18940648,83.96903523
Balsakha Montessori,private,Su-Fr 10:00-15:00,,,,,,kindergarten,28.28082864,83.93160441
SOS Hermann Gmeiner Kindergarten,private,,,,,,,kindergarten,28.18852362,83.95755131
Panas Kids World Montessori,private,,9846756342,,,,,kindergarten,28.19393935,83.96081843
Tender Heart Montessori,private,10:00-15:00,+977 9811717780  9846855996,,,,,kindergarten,28.24391588,83.98662954
Little Garden Montesori,private,,9856072254  9846362254,,,,,kindergarten,28.1655338,84.056241
Educare Montessori,private,,061-229688,,,,,kindergarten,28.2198903,84.0045352
Fairy Land Montesorri,private,,061-461349,,,,,kindergarten,28.2119895,83.9595744
Apex Pre School,private,,,,,,,kindergarten,28.1660966,84.0689585
Red Gold Montessori,private,,985621380,,,,,kindergarten,28.160374,84.0872271
Fulbari Montessori Cottage,private,,,fmcpkr@gmail.com,,,,kindergarten,28.231915,83.9908177
Siddhartha Montessori,private,,,siddhartha.edu.np@gmail.com,,,,kindergarten,28.2178144,83.9977795
Star's Montessori Academy,private,,061 525135,,,,,kindergarten,28.2268141,83.9907058
Well Known Academy,private,,,,,,,kindergarten,28.1844882,84.0029468
Good Luck Montessori,private,Su-Th 10:00-14:30  Fr 10:00-13:00,,,,,,kindergarten,28.2756136,83.9388875
Shangrila Montessori,private,,9806505841,,,,,kindergarten,28.1863973,83.9775597
Rainbow Children Home,private,,,,,,,kindergarten,28.2136503,83.9623027
Global Bal Batika Montessori Pre- School,private,,,,,,,kindergarten,28.2184857,83.9973785
Motherland Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,104,4411,,school,28.21159982,83.97183611
Prativa Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61521546,,,,,school,28.22640136,83.99152845
Karunanidhi Education Foundation(KEF) Secondary School,private,06:00-17:00,061-523259 061-412268 061-412409,,70,1400,,school,28.24482741,83.98479793
Sishu Kalyan English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-461896,skes461896@gmail.com,22,690,,school,28.18907217,83.95458622
LP Devkota English School,private,09:00-17:00,,,28,389,,school,28.19178694,83.96671523
Junior Citizens Academy Higher Sceondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061 411398  411503,,54,1523,,school,28.18153501,84.03972566
Sublime Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,29,746,,school,28.20431653,83.97553372
SOS Hermann Gmeiner English Boarding School,private,Su-Fr 10:00-16:00,61430569,info@soshgsgandaki.edu.np,56,1394,,school,28.20148335,83.98732993
Tal Barahi Ma V,government,09:00-17:00,9846044437,,21,1116,,school,28.21134455,83.96229395
Ekata Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-5201871,,18,532,,school,28.22413981,83.98064044
Nilgiri Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846026557,,31,1209,,school,28.22502326,83.98430422
Kumudini Homes,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61525390,,69,1338,,school,28.22721575,83.9884398
Balmandir Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-521082,,37,2126,,school,28.23359678,83.99063148
Tarapunja Education Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856021534,,22,539,,school,28.23566383,83.98725763
Mt. Annapurna Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-520718  531176  522946,,32,450,,school,28.23118137,83.98599799
Barahi Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061 419360,,26,910,,school,28.21815924,83.97599423
Indra Rajya Laxmi Ma V,government,09:55-16:05,061-440988,,16,1329,,school,28.26143878,83.9734257
Amar Singh Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846032174,,94,5193,,school,28.20816276,84.00143439
Bhaskar Memorial School,private,Su-Fr 10:00- 16:00,061-525504  528374,,42,1223,,school,28.22753174,83.99684152
Co-Ordinator Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.23278943,83.99653543
Global Collegiate Higher Sceondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,97761524604,,76,1099,,school,28.21765457,83.99921352
Sidda Ma V,government,06:00-04:00,061-430903,,17,444,,school,28.19051629,83.99942394
Rameshwori Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856029681,,17,651,,school,28.17743756,84.02294102
Bhadrakali Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846037733,,42,1272,,school,28.21360632,84.01153221
Gaurishankar Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856019319,,13,1089,,school,28.27859006,83.93977641
Western Gandaki Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,6,51,,school,28.2905307,83.95073774
Shree Krishna Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846147675,,24,821,,school,28.20971781,83.97287664
Kundahar Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846361677,,7,241,,school,28.20472382,84.00614292
Ratna Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,+977 9846037937,,11,254,,school,28.24933828,83.9777693
Pokhara Academy (Primary Level),private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846778188,,33,811,,school,28.26384771,83.98032335
Pragati English Boarding School,private,09:00-17:00,061-440204,pragatischool.pokhara@gmail.com,78,1150,,school,28.26504227,83.97778216
New Model Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,20,443,,school,28.20687448,83.98051855
Pokhara Academy (Seondary Level),private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846778188,,33,811,,school,28.26092807,83.98781881
Rastriya Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-520271,,31,3022,,school,28.24180182,83.98462648
Alpha Boarding School,private,10:00-16:00,061-440319,alphabs2045@gmail.com,27,701,,school,28.26249064,83.97386214
Little Step Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,11,92,,school,28.24371075,83.9899357
Bishnu Padhukaa Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846059307,,21,788,,school,28.26898232,83.9505435
Gyanodaya Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846061046,,13,91,,school,28.21309125,83.9606995
Shishu Niketan Higher Secondary School,private,Su-Fr 10:00-16:00,061-461598  460601  460603,shishuniketan2040@gmail.com,51,2334,,school,28.19050068,83.97323725
Balodaya Higher Secondary School,private,Su- Fr 5:00-17:00,061-461442,info@bebs.edu.np,38,1088,,school,28.18947924,83.96758897
Shanti Deep English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,20,616,,school,28.17504258,84.02660465
Great Compassion Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.23049924,83.94871489
Makanna Devi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805806026,,2,23,,school,28.22945084,83.85165438
Rainbow Academic Homes Higher Secondary,private,10:00-16:00,061-430557,,44,1655,,school,28.19378582,83.99598941
Jana Jagriti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846282998,,11,139,,school,28.10154248,84.06422485
Dhawalagiri Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,41,1040,,school,28.28048617,83.93644408
Dharmasthali Basic School,government,10:00-16:00,061-419079,,14,748,,school,28.2229496,83.97845909
Amar Jyoti Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,-526064,amarjyotipokhara@gmail.com,14,400,,school,28.21443913,83.97960317
National Inventive Higher Secondary Boarding School,private,09:00-17:00,9856049421,,38,1088,,school,28.20983774,83.96296051
Little Step Secondary School,private,6:00-18:00,061-531964  061-525103,lsiacademy@wlink.com.np,26,790,,school,28.20972547,83.97537753
Janajyoti Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846147538,,13,358,,school,28.21412566,84.07559002
Lotus Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-521919  061-528086,,6,287,,school,28.22056626,83.98944352
Nawa Prabhat Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856044426,,22,734,,school,28.2174521,83.99180704
Devi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846050468,,4,63,,school,28.26255637,84.00964487
Himanchal Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856020864,,27,661,,school,28.2017375,83.9744477
Tops Higher Secondary School,private,Su-Fr 10:00-16:00,061-528382,,53,1083,,school,28.20978491,83.99551887
Jyoti Bhawan Basic School,government,10:00-16:00,9846717287,,14,44,,school,28.29725708,83.99406268
Shanti Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846059539,,22,524,,school,28.28487734,83.98544628
Himalayan Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856031527,,4,108,,school,28.3176394,83.96270527
Paramount Public School,private,Su-Fr 10:00-16:00,061-527365,,31,881,,school,28.20836762,83.99810613
Pokhara United Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-550491,,37,926,,school,28.2112208,84.00595713
New Galaxy Higher Secondary school,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-520210,,45,1017,,school,28.22842306,83.99062591
Sri Satya Sai English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-533666,,15,274,,school,28.2307687,83.99072226
Gyanubaba Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-521497,,22,834,,school,28.2398441,83.98444082
Happy Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-462156,,17,313,,school,28.21150923,83.97233298
High Mount English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9813854824,,10,313,,school,28.24708357,83.9786424
Shree Ram Basic School,government,su-fr 9:00-16:00,61536576,,10,421,,school,28.20912165,83.97955775
Spiral Galaxy Higher Secondary School,private,09:00-17:00,,,37,483,,school,28.24464087,83.98364258
Suryodhaya English Boarding School,private,09:30-15:45,061-440105,sebs.pkr@gmail.com,31,515,,school,28.25087039,83.98281368
Step By Step Higher Secondary School,private,10:00-17:00,,,24,662,,school,28.21554999,83.97021248
Kantipur Academy of Science and Tecnology,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061 527487,,19,225,,school,28.18198218,84.02424872
Bhayareshwori Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846047235,,8,220,,school,28.18734203,84.02481358
Bindyabasuni Ma V,government,10:00-16:00,061-440065  061-440603,vvhsspokhara16@gmail.com,18,1109,,school,28.26254407,83.97973805
Saint Francis School,private,Su-Fr 9:30-16:00,061-431070/061-622686 061-5505070,,28,1065,,school,28.17112883,84.02265859
Sukraraj Bala Bhadra Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856035769,,25,682,,school,28.18135607,84.00996421
Sahid Awasiya Ma V,government,Su-Fr 9:30-16:00,9846035541,,22,925,,school,28.16327741,84.03278201
Shivapuri Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846157055,,,,,school,28.29250778,83.93984726
Bharati Bhawan Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846064036,,28,834,,school,28.29184624,83.94720523
Saraswati Adarsha Vidhyashram,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-440425,sav_lamachaur@hotmail.com,45,1383,,school,28.26107817,83.97060185
Gandaki Higher Secondary Boarding School,community,09:00-17:00,061-440398,gbs@phewamail.edu.np,72,1120,,school,28.25850256,83.96889755
Samata Sikshya Niketan,private,10:00-04:00,+977 9856033465,,33,1936,,school,28.22614099,83.97949067
Shanti Niketan School,private,10:00-04:00,061-551636,shantiniketan062@gmail.com,23,490,,school,28.22144935,83.9773692
Srijana Higher Secondary School,private,10:00-17:00,,,31,2203,,school,28.21147746,83.9783506
Gyan Ganga Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-540177,,,200,,school,28.19222293,84.02266588
Mankamana Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-521697 061-523765,,22,513,,school,28.2315197,83.99546934
Diamond Higher Sceondary Boarding School,private,Su-Fr 06:00-17:00,061-560146,diamondhighersecschool@gmail.com,34,1879,,school,28.16371438,84.06224297
Lekhnath Memorial English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-561327,,17,570,,school,28.16957785,84.05264345
Nawajyoti Sanat Durga Basic School,government,Mo-Fr 10:00-16:00,9856061749,,9,313,,school,28.16617716,84.08114775
Ram Jyoti Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846031196,,11,438,,school,28.1806208,84.03421945
Sagarmatha Nikentan School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,30,1066,,school,28.21967089,83.98957925
Pokhara Public School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,40,1340,,school,28.19271187,84.01901711
Little Angel School,private,Su-Fr 10:00-16:00,9856082603,,12,312,,school,28.28407315,83.95139049
Chandika Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-441014,,7,44,,school,28.25664739,83.9821585
Nilgiri English Boarding School,private,10:00-16:00,,,24,675,,school,28.21935659,83.98515796
Sunflower English Boarding school,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846167221,,20,708,,school,28.23501849,83.98361096
Kalika Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-431141,,46,4272,,school,28.2012854,83.99923709
Sitala Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846050602,,26,392,,school,28.21819854,84.00126738
Mount Everest Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846075855,,19,185,,school,28.21433157,83.98442021
Bicramshila Buddhist Gumba,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846046619,,6,113,,school,28.26154633,83.95666388
Riverdale Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-441065,riverdale2051@gmail.com,12,891,,school,28.28279639,83.99023151
Annapurna Basic School,government,Su-Fr 10:00-16:00,9846201886,,3,94,,school,28.20559108,83.96870968
Nabin Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856022603,,23,1579,,school,28.22679777,83.98571944
Nawa Deep English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856033788,,22,713,,school,28.20241424,84.00517938
Baseline Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9804140477,,26,882,,school,28.20599113,84.01519646
Maula Islamic Samudayak Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846532726,,12,246,,school,28.20944764,84.00988139
Balvidhya Mandir Secondary Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,17,351,,school,28.20897233,84.00873284
Laxmi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846114251,,9,,,school,28.1951946,83.91875664
Bal Prabhat Boardiing School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,615262237,balparbhat@gmail.com,25,602,,school,28.21875853,83.98615905
Bhawani Kalika Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856021947,,30,401,,school,28.19581416,84.03234671
Gyan Bhumi Ma V,government,10:00-05:00,98460023784,,15,625,,school,28.23109004,83.99161597
Boudha Sikshya Aadhyan Kendra,government,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,22,,school,28.21085959,83.99489071
Well Known Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,22,448,,school,28.18419711,84.00316219
Saint Mary's English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-431745,,67,1992,,school,28.19446876,83.99274972
Lekhnath Bhibhuti English Boarding School,private,9:30-16:00,61432336,,34,380,,school,28.20014405,83.99743025
Childrens Academy,private,10:00-17:00,061-527082,,21,546,,school,28.21136675,84.01214395
Good Sephard English Boarding School,private,09:00-03:00,61431200,,22,331,,school,28.19122695,84.00971828
Pal Ewam Nagyal Monastic School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.23281717,83.9246275
Mertopolitan Academy,private,09:00-17:00,9856077603,,22,454,,school,28.20943868,83.99890006
Chhorepatan Ma V,government,9:00-17:00,9856010286,,63,3217,,school,28.18996294,83.95628071
Fishtail Higher Secondary School,private,09:00-17:00,,,27,673,,school,28.19546711,83.9725554
Pardi Ma V,government,09:00-17:00,9846278943,,18,1282,,school,28.1976697,83.97511862
Janaprakash Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856061374,janaparkash2017@gamil.com,38,1447,,school,28.15076569,84.06524755
Dynamic Academy,private,Su-Fr 09:00-15:15,61537808,,36,,,school,28.20712851,83.97567321
Tribhuwan Shanti Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856030402,,29,1091,,school,28.1455918,84.0821261
Gorkha English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846656236,,25,359,,school,28.25057118,83.98447056
Pokhara Learners Academy,private,09:00-17:00,,,20,662,,school,28.20209176,83.97373493
Siddha Paropakar Baudhik Gurukul Ashram,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9851052245,,5,56,,school,28.17929472,83.99160747
Anjuli English Boarding School,private,10:00-16:05,061-527588,anjuliboarding@gmail.com,34,420,,school,28.24162617,83.98569028
Sharaswati Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846044256,,24,336,,school,28.21191274,84.00216646
Sainik Awasiya Mahavidyalaya,government,09:00-17:00,,,66,1924,,school,28.22409644,83.99506957
Kanya Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-520291,,16,636,,school,28.23248227,83.99108604
Guru Kul Vidhyasadhan,private,09:00-17:00,,,30,759,,school,28.21796874,83.98805885
Siddhartha Lovedale English Boarding School,private,09:00-17:00,61533249,,20,474,,school,28.22145917,83.99017337
Akala Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846031126,,7,188,,school,28.27317431,83.95725373
Shining Star Secondary Boarding School,private,10:00-16:00,,,24,623,,school,28.21300085,83.96359758
Shanta Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856008015,,21,795,,school,28.23416247,83.92535607
Vision Boarding School,private,Su-Fr 10:00-16:00,61430146,,8,80,,school,28.201403,83.99111315
Kels Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846524741,,17,397,,school,28.20217456,83.99392674
Social Public English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846635494,,33,1376,,school,28.205154,83.9960665
Bethany Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,98560308059,,27,823,,school,28.20015193,84.0077901
Jyotikunja English Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-431305,,52,1357,,school,28.20304808,83.99784588
Pokhara Creative Higher Secondary School,private,09:00-17:00,9856028222,,20,485,,school,28.2129319,83.97999405
Gyankunj Academy,private,09:00-17:00,,,19,427,,school,28.20523529,83.97954886
Ratna Jyoti Higher Secondary School,private,09:00-17:00,,,25,551,,school,28.20596483,83.9749517
Saraswati Secondary School,private,09:00-17:00,061-526936,,22,908,,school,28.20819843,83.98225618
BhanuBhakta English Boarding School,private,10:00-16:00,061-533257,bhanubhaktaschool42@gmail.com,20,744,,school,28.24476222,83.98594106
Bindabasini Ma V,government,09:00-17:00,9856031398,,55,1876,,school,28.23689117,83.9810974
Pascal Academy,private,09:00-17:00,,,22,222,,school,28.24451091,83.98994953
Masina Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846226250,,9,271,,school,28.167849,84.02280918
Himalaya Boarding School,private,09:00-17:00,061-461405,himalayan-17@gmail.com,25,816,,school,28.19004152,83.9804645
Golden Future H S S,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-430773,,32,1032,,school,28.19881249,83.99957061
Pokhara Multimodel Campus,private,,,,,,,school,28.21246643,83.97960783
Marigold Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-431900,info@marigold.edu.np,25,737,,school,28.1996603,83.99050574
Pioneer English Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9804128173,,14,258,,school,28.20419459,84.00052612
Shree Bal Kalyan High School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-525349,,30,958,,school,28.21462765,84.01058519
Mahendra Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846029505,,18,2007,,school,28.21983326,83.99060511
Janajyoti Basic School,government,Su-Fr 10:00-16:00,9846162656,,5,76,,school,28.21376034,84.07380736
Kalika English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9.85603505198463E+019,kalikaeducation123@gmail.com,,200,,school,28.21339778,84.07691502
Kaski Modernized Academic,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856021299,,102,2772,,school,28.19921449,84.02135642
Oxford Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-524985 9856031760,,22,502,,school,28.21512813,84.01823075
Tarakunja English Boarding School,private,10:00-17:00,061-534526,,,,,school,28.21673989,84.02513301
Hill Point English Boarding School,private,10:00-17:00,061-526105,,39,873,,school,28.21674133,84.00419484
Rising English Boarding School,private,10:00-17:00,061-531475,,14,469,,school,28.21723928,84.00357238
Puspa Sadan Academy,private,10:00-17:00,061-533567 061-530390,,16,347,,school,28.21991029,84.00041157
Kanchanjangha English Boarding School,private,10:00-17:00,061-551382  061-521919,,25,530,,school,28.2238016,84.00030527
Shiva Shakti Ma V,government,10:00-17:00,061-521836,,20,974,,school,28.22883668,83.99977392
Siddhartha English Boarding School,private,10:00-17:00,061-522214 061-521933,,23,448,,school,28.21778162,83.9979961
Pinnacle Academy,private,10:00-17:00,061-229665,,,,,school,28.21844392,83.99784622
View Point Secondary School,private,10:00-4:00,061 430620  061 430144,vpbs15@gmail.com,26,525,,school,28.18417132,83.99416827
Sahara Bal Basic school,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856063059,,12,450,,school,28.20670109,83.98806625
Bal Kalyan Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846209343,,7,154,,school,28.25411014,83.96692835
Ratan Pande Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856032175,,23,364,,school,28.22687334,84.03550708
