FID,the_geom,NQID,HFNAME,DISTRICT,VDC,WARD,LATITUDE,LONGITUDE,ALTITUDE,TYPE,EZONE,MAJROTYP,REGION
new_HF.71,POINT (81.32 29.06),69068,Dhaku SHP,achham,DHAKU,5,29.06,81.32,1698,Health Post,Hill,SHP,Far western
new_HF.72,POINT (81.35 29.03),69069,Muli SHP,achham,BHULI,4,29.03,81.35,1544,Health Post,Hill,SHP,Far western
new_HF.73,POINT (81.41 29.03),69070,Bayala SHP,achham,BAYALA,6,29.03,81.41,1074,Health Post,Hill,SHP,Far western
new_HF.74,POINT (81.37 29.06),69071,Chalsa SHP,achham,CHALSA,6,29.06,81.37,1517,Health Post,Hill,SHP,Far western
new_HF.75,POINT (81.15 29.23),69072,Marku SHP,achham,MARKU,7,29.23,81.15,1426,Health Post,Hill,SHP,Far western
new_HF.76,POINT (83.13 27.97),1018,"District Hospital, Arghakhanchi",arghakhanchi,SANDHIKHARKA,6,27.97,83.13,941,District Hospital,Hill,Government hospital,Western
new_HF.77,POINT (83.09 27.86),2030,Thada PHC,arghakhanchi,THADA,1,27.86,83.09,1251,Primary Health Care Centre,Hill,PHCC,Western
new_HF.78,POINT (83.24 27.97),2031,Balkot PHC,arghakhanchi,BALKOT,1,27.97,83.24,1107,Primary Health Care Centre,Hill,PHCC,Western
new_HF.79,POINT (83 28),3708,Asurkot SHP,arghakhanchi,ASURKOT,2,28,83,1134,Health Post,Hill,SHP,Western
new_HF.80,POINT (83.04 28.02),3709,Dharapani HP,arghakhanchi,DHARAPANI,5,28.02,83.04,1190,Health Post,Hill,HP,Western
new_HF.81,POINT (83.02 28.09),3710,Gokhunga SHP,arghakhanchi,GORKHUNGA,9,28.09,83.02,1974,Health Post,Hill,HP,Western
new_HF.82,POINT (83 28.04),3711,Dhakawang HP,arghakhanchi,DHAKAWANG,3,28.04,83,1096,Health Post,Hill,HP,Western
new_HF.83,POINT (83.3 27.87),3712,Panena HP,arghakhanchi,PATHONA,4,27.87,83.3,1392,Health Post,Hill,HP,Western
new_HF.84,POINT (83.05 27.89),3713,Jukena SHP,arghakhanchi,JUKENA,5,27.89,83.05,1111,Health Post,Hill,SHP,Western
new_HF.85,POINT (83.11 27.94),3714,Dhikura SHP,arghakhanchi,DHIKURA,4,27.94,83.11,1290,Health Post,Hill,SHP,Western
new_HF.86,POINT (83.12 27.88),3715,Sitapur SHP,arghakhanchi,SITAPUR,5,27.88,83.12,1154,Health Post,Hill,SHP,Western
new_HF.87,POINT (83.13 27.92),3716,Khanchikot HP,arghakhanchi,KHANCHIKOT,1,27.92,83.13,1772,Health Post,Hill,HP,Western
new_HF.88,POINT (83.29 27.91),3717,Khidim SHP,arghakhanchi,KHIDIM,3,27.91,83.29,735,Health Post,Hill,SHP,Western
new_HF.89,POINT (83.21 27.89),3718,Dhatibang SHP,arghakhanchi,DHATIWANG,8,27.89,83.21,1090,Health Post,Hill,SHP,Western
new_HF.90,POINT (83.25 27.88),3719,Patauti SHP,arghakhanchi,PATHAUTI,1,27.88,83.25,1272,Health Post,Hill,SHP,Western
new_HF.91,POINT (83.08 27.99),3720,Keemdada SHP,arghakhanchi,KEEMADADA,3,27.99,83.08,1348,Health Post,Hill,SHP,Western
new_HF.92,POINT (83.16 27.81),3721,Simalpani SHP,arghakhanchi,SIMALAPANI,5,27.81,83.16,1133,Health Post,Hill,SHP,Western
new_HF.93,POINT (83.09 28.04),3722,Bangi HP,arghakhanchi,BANGI,5,28.04,83.09,1330,Health Post,Hill,HP,Western
new_HF.94,POINT (83.1 28.02),3723,"1,500,213,101",arghakhanchi,ARGHA,2,28.02,83.1,1541,Health Post,Hill,HP,Western
new_HF.95,POINT (83.06 28.07),3724,Hansapur HP,arghakhanchi,HANSAPUR,1,28.07,83.06,1842,Health Post,Hill,HP,Western
new_HF.96,POINT (83.08 27.97),3725,Nuwakot HP,arghakhanchi,NUWAKOT,6,27.97,83.08,1388,Health Post,Hill,HP,Western
new_HF.97,POINT (83.02 27.99),3726,Khillji SHP,arghakhanchi,KHILJI,2,27.99,83.02,1112,Health Post,Hill,SHP,Western
new_HF.98,POINT (83.23 27.93),3727,Pali SHP,arghakhanchi,PALI,4,27.93,83.23,1068,Health Post,Hill,SHP,Western
new_HF.99,POINT (83.24 27.9),3728,Maidan SHP,arghakhanchi,MAIDAN,5,27.9,83.24,1240,Health Post,Hill,SHP,Western
new_HF.100,POINT (82.96 27.91),3729,Jaluke HP,arghakhanchi,JULUKE,2,27.91,82.96,899,Health Post,Hill,HP,Western
new_HF.101,POINT (83.18 27.94),3730,Adguri SHP,arghakhanchi,ADGURI,6,27.94,83.18,1198,Health Post,Hill,SHP,Western
new_HF.102,POINT (83.06 27.93),3731,Dhanchaur SHP,arghakhanchi,DHANCHAUR,6,27.93,83.06,1330,Health Post,Hill,SHP,Western
new_HF.103,POINT (83.15 27.95),3732,Narpani HP,arghakhanchi,NARAPANI,2,27.95,83.15,1090,Health Post,Hill,HP,Western
new_HF.104,POINT (83.28 27.89),3733,Pokharathok HP,arghakhanchi,POKHARATHOK,1,27.89,83.28,1358,Health Post,Hill,HP,Western
new_HF.105,POINT (83.27 27.96),3734,Chidika SHP,arghakhanchi,CHIDIKA,3,27.96,83.27,1091,Health Post,Hill,HP,Western
new_HF.106,POINT (83.15 27.86),3735,Subarnakhal HP,arghakhanchi,SUBARNAKHAL,1,27.86,83.15,1016,Health Post,Hill,HP,Western
new_HF.107,POINT (83.12 28.04),3736,Khana HP,arghakhanchi,KHAN,2,28.04,83.12,1599,Health Post,Hill,HP,Western
new_HF.108,POINT (82.97 27.86),3737,Siddhara HP,arghakhanchi,SIDDHARA,2,27.86,82.97,1118,Health Post,Hill,HP,Western
new_HF.109,POINT (83.19 28.04),3738,Arghatosh HP,arghakhanchi,ARGHATOS,4,28.04,83.19,1460,Health Post,Hill,HP,Western
new_HF.110,POINT (83.19 28.05),3739,Mareng HP,arghakhanchi,MARENG,5,28.05,83.19,1499,Health Post,Hill,HP,Western
new_HF.111,POINT (83.22 28.04),3740,Bhagawati HP,arghakhanchi,BHAGAWATI,7,28.04,83.22,1479,Health Post,Hill,HP,Western
new_HF.112,POINT (83.22 28.02),3741,Chhatraganj SHP,arghakhanchi,CHHATRAGANJ,5,28.02,83.22,1308,Health Post,Hill,SHP,Western
new_HF.113,POINT (83.2 28.01),3742,Thulapokhara SHP,arghakhanchi,THULAPOKHARA,6,28.01,83.2,1186,Health Post,Hill,SHP,Western
new_HF.114,POINT (83.13 28.06),3743,Khanadaha SHP,arghakhanchi,KHANDAHA,1,28.06,83.13,1681,Health Post,Hill,SHP,Western
new_HF.115,POINT (83.18 27.97),3744,Wangla SHP,arghakhanchi,BANGLA,7,27.97,83.18,1165,Health Post,Hill,SHP,Western
new_HF.116,POINT (83.15 28.01),3745,Divarna SHP,arghakhanchi,DIBHARNA,4,28.01,83.15,1216,Health Post,Hill,SHP,Western
new_HF.117,POINT (83.22 27.99),3746,Kerunga SHP,arghakhanchi,KERUNGA,6,27.99,83.22,1193,Health Post,Hill,SHP,Western
new_HF.118,POINT (83.12 27.97),5064,Mary Stoppes,arghakhanchi,SANDHIKHARKA,7,27.97,83.12,948,Other NGO Health Facility,Hill,Other HFs,Western
new_HF.119,POINT (83.13 27.98),5065,Supadeurali Pharmacy & Pathology,arghakhanchi,SANDHIKHARKA,6,27.98,83.13,964,Private Laboratory,Hill,Radiology/lab,Western
new_HF.120,POINT (83.09 27.86),5066,Subhadra Medical & Pandey Pathology,arghakhanchi,THADA,1,27.86,83.09,1286,Private Laboratory,Hill,Radiology/lab,Western
new_HF.121,POINT (83.13 27.97),5067,Bimala Medical Clinic,arghakhanchi,SANDHIKHARKA,6,27.97,83.13,952,Private Clinics,Hill,Private clinics,Western
new_HF.122,POINT (83.13 27.95),5068,Arghakhanchi Poly Clinic,arghakhanchi,SANDHIKHARKA,6,27.95,83.13,976,Other Private HF,Hill,Other HFs,Western
new_HF.123,POINT (83.12 27.98),6045,Arghakhanchi Hospital Pvt. Ltd,arghakhanchi,SANDHIKHARKA,9,27.98,83.12,948,Private Hospital,Hill,Private hospital,Western
new_HF.124,POINT (83.6 28.27),1020,Dhaulagiri Zonal Hospital,baglung,BAGLUNG MUNICIPALITY,2,28.27,83.6,953,District Hospital,Hill,Government hospital,Western
new_HF.125,POINT (83.16 28.33),2035,Burtibang PHC,baglung,BURTIWANG,1,28.33,83.16,1116,Primary Health Care Centre,Hill,PHCC,Western
new_HF.126,POINT (83.42 28.24),2036,Galkot PHC,baglung,HARICHAUR,5,28.24,83.42,1317,Primary Health Care Centre,Hill,PHCC,Western
new_HF.127,POINT (83.62 28.18),2037,Kusmisera PHC,baglung,KUSMISHERA,4,28.18,83.62,831,Primary Health Care Centre,Hill,PHCC,Western
new_HF.128,POINT (83.16 28.29),3821,Darling SHP,baglung,DARLING,3,28.29,83.16,1020,Health Post,Hill,SHP,Western
new_HF.129,POINT (83.33 28.2),3822,Righa HP,baglung,RIGHA,4,28.2,83.33,1574,Health Post,Hill,HP,Western
new_HF.130,POINT (83.46 28.13),3823,Batakachaur SHP,baglung,BATAKACHAUR,3,28.13,83.46,1245,Health Post,Hill,SHP,Western
new_HF.131,POINT (83.6 28.16),3824,Sarkuwa HP,baglung,SARKUWA,6,28.16,83.6,1300,Health Post,Hill,HP,Western
new_HF.132,POINT (83.62 28.15),3825,Arjewa SHP,baglung,ARJEWA,7,28.15,83.62,1217,Health Post,Hill,SHP,Western
new_HF.133,POINT (83.57 28.16),3826,Rangkhani HP,baglung,RANGKHANI,1,28.16,83.57,1147,Health Post,Hill,HP,Western
new_HF.134,POINT (83.51 28.13),3827,Hugdisir HP,baglung,HUGDISHEER,3,28.13,83.51,1805,Health Post,Hill,HP,Western
new_HF.135,POINT (83.38 28.2),3828,Kandebas SHP,baglung,KANDEBAS,3,28.2,83.38,1032,Health Post,Hill,SHP,Western
new_HF.136,POINT (83.65 28.22),3829,Paiyunpata HP,baglung,PAIYUNPATA,1,28.22,83.65,1230,Health Post,Hill,HP,Western
new_HF.137,POINT (83.57 28.16),3830,Paiyunthanthap SHP,baglung,PAIYUNTHANTHAP,4,28.16,83.57,1217,Health Post,Hill,SHP,Western
new_HF.138,POINT (83.67 28.22),3831,Narayansthan SHP,baglung,NARAYANSTHAN,3,28.22,83.67,1027,Health Post,Hill,SHP,Western
new_HF.139,POINT (83.63 28.17),3832,Binamare SHP,baglung,BINAMARE,4,28.17,83.63,1045,Health Post,Hill,SHP,Western
new_HF.140,POINT (83.4 28.21),3833,Malma SHP,baglung,MALMA,6,28.21,83.4,1150,Health Post,Hill,SHP,Western
new_HF.141,POINT (83.61 28.13),3834,Jaidi HP,baglung,DHULLUGAIDI,2,28.13,83.61,1284,Health Post,Hill,HP,Western
new_HF.142,POINT (83.53 28.14),3835,Dhullubaskot SHP,baglung,DHULLUBASKOT,4,28.14,83.53,1495,Health Post,Hill,SHP,Western
new_HF.143,POINT (83.58 28.12),3836,Chhisti SHP,baglung,CHHISTI,7,28.12,83.58,1398,Health Post,Hill,SHP,Western
new_HF.144,POINT (83.32 28.22),3837,Sisakhani SHP,baglung,SISAKHANI,2,28.22,83.32,1938,Health Post,Hill,SHP,Western
new_HF.145,POINT (83.36 28.26),3838,Pandavkhani HP,baglung,PANDAVKHANI,8,28.26,83.36,1898,Health Post,Hill,HP,Western
new_HF.146,POINT (83.43 28.14),3839,Sukhaura SHP,baglung,SUKHAURA,5,28.14,83.43,1764,Health Post,Hill,SHP,Western
new_HF.147,POINT (83.43 28.14),3840,Salyan HP,baglung,SALYAN,6,28.14,83.43,1745,Health Post,Hill,HP,Western
new_HF.148,POINT (83.64 28.2),3841,Amlachaur HP,baglung,AMALACHAUR,7,28.2,83.64,1284,Health Post,Hill,HP,Western
new_HF.149,POINT (83.44 28.29),3842,Argal SHP,baglung,ARGAL,2,28.29,83.44,1787,Health Post,Hill,SHP,Western
new_HF.150,POINT (83.25 28.39),3843,Taman HP,baglung,TAMAN,3,28.39,83.25,2080,Health Post,Hill,HP,Western
new_HF.151,POINT (83.06 28.42),3844,Bowang SHP,baglung,BOWANG,8,28.42,83.06,1965,Health Post,Hill,SHP,Western
new_HF.152,POINT (82.98 28.42),3845,Nisi SHP,baglung,NISI,8,28.42,82.98,1889,Health Post,Hill,SHP,Western
new_HF.153,POINT (83.12 28.33),3846,Devisthan SHP,baglung,DEVISTHAN,5,28.33,83.12,1154,Health Post,Hill,SHP,Western
new_HF.154,POINT (83.18 28.28),3847,Bhimgithe HP,baglung,BHIMGITHE,1,28.28,83.18,1007,Health Post,Hill,HP,Western
new_HF.155,POINT (83.2 28.4),3848,Bongadovan SHP,baglung,BONGADOVAN,1,28.4,83.2,1425,Health Post,Hill,SHP,Western
new_HF.156,POINT (83.25 28.25),3849,Jaljala HP,baglung,JALJALA,4,28.25,83.25,2027,Health Post,Hill,HP,Western
new_HF.157,POINT (83.41 28.3),3850,Hila HP,baglung,HEEL,2,28.3,83.41,1610,Health Post,Hill,HP,Western
new_HF.158,POINT (83.23 28.24),3851,Gualichaur HP,baglung,GWALICHAUR,3,28.24,83.23,949,Health Post,Hill,HP,Western
new_HF.159,POINT (83.05 28.38),3852,Boharagaun HP,baglung,BOHARAGAUN,5,28.38,83.05,1445,Health Post,Hill,HP,Western
new_HF.160,POINT (83.38 28.33),3853,Tara SHP,baglung,TARA,6,28.33,83.38,1940,Health Post,Hill,SHP,Western
new_HF.161,POINT (83.12 28.37),3854,Adhikarichaur HP,baglung,ADHIKARICHAUR,8,28.37,83.12,1372,Health Post,Hill,HP,Western
new_HF.162,POINT (83.28 28.21),3855,Dagatundada SHP,baglung,DAGATUNDADA,4,28.21,83.28,1630,Health Post,Hill,SHP,Western
new_HF.163,POINT (83.14 28.32),3856,Rajkut SHP,baglung,RAJKUT,3,28.32,83.14,1601,Health Post,Hill,SHP,Western
new_HF.164,POINT (83.2 28.37),3857,Khunga SHP,baglung,KHUNGA,3,28.37,83.2,1690,Health Post,Hill,SHP,Western
new_HF.165,POINT (83.23 28.44),3858,Khunkhani SHP,baglung,SUNKHANI,1,28.44,83.23,2034,Health Post,Hill,SHP,Western
new_HF.166,POINT (83.25 28.29),3859,Ranasinkiteni SHP,baglung,RANASINKITENI,1,28.29,83.25,1917,Health Post,Hill,SHP,Western
new_HF.167,POINT (83.53 28.28),3860,Bhimpokhara SHP,baglung,BHIMPOKHARA,7,28.28,83.53,1826,Health Post,Hill,SHP,Western
new_HF.168,POINT (83.56 28.25),3861,Singana SHP,baglung,SINGANA,4,28.25,83.56,1426,Health Post,Hill,SHP,Western
new_HF.169,POINT (83.51 28.24),3862,Lekhani SHP,baglung,LEKHANI,6,28.24,83.51,1631,Health Post,Hill,SHP,Western
new_HF.170,POINT (83.58 28.25),3863,Tityang SHP,baglung,TITYANG,8,28.25,83.58,1341,Health Post,Hill,SHP,Western
new_HF.171,POINT (83.48 28.21),3864,Dhudhilabhati SHP,baglung,DHUDHILABHATI,4,28.21,83.48,1482,Health Post,Hill,SHP,Western
new_HF.172,POINT (83.45 28.26),3865,Amarbhumi SHP,baglung,AMARBHUMI,2,28.26,83.45,1887,Health Post,Hill,SHP,Western
new_HF.173,POINT (83.6 28.24),3866,Bhakunde SHP,baglung,BHAKUNDE,5,28.24,83.6,1550,Health Post,Hill,SHP,Western
new_HF.174,POINT (83.57 28.3),3867,Malika SHP,baglung,MALIKA,5,28.3,83.57,1572,Health Post,Hill,SHP,Western
new_HF.175,POINT (83.51 28.26),3868,Binu HP,baglung,BIHUNKOT,4,28.26,83.51,1758,Health Post,Hill,HP,Western
new_HF.176,POINT (83.53 28.24),3869,Resha HP,baglung,RESH,4,28.24,83.53,1445,Health Post,Hill,HP,Western
new_HF.177,POINT (83.48 28.3),3870,Dhamja HP,baglung,DHAMJA,4,28.3,83.48,2197,Health Post,Hill,HP,Western
new_HF.178,POINT (83.45 28.22),3871,Narethanti,baglung,NARETHANTI,5,28.22,83.45,1306,Health Post,Hill,HP,Western
new_HF.179,POINT (83.58 28.19),3872,Damek HP,baglung,DAMEK,4,28.19,83.58,1604,Health Post,Hill,HP,Western
new_HF.180,POINT (83.58 28.22),3873,Rayadanda SHP,baglung,RAYADANDA,6,28.22,83.58,1805,Health Post,Hill,SHP,Western
new_HF.181,POINT (83.58 28.28),3874,Mulpani SHP,baglung,BAGLUNG MUNICIPALITY,9,28.28,83.58,1419,Health Post,Hill,SHP,Western
new_HF.182,POINT (83.56 28.27),3875,Palakot SHP,baglung,PALAKOT,1,28.27,83.56,1506,Health Post,Hill,SHP,Western
new_HF.183,POINT (83.5 28.28),3876,Tangram SHP,baglung,TANGRAM,2,28.28,83.5,1584,Health Post,Hill,SHP,Western
new_HF.184,POINT (83.43 28.22),3877,Dhamja HP,baglung,HATIYA,3,28.22,83.43,1193,Health Post,Hill,SHP,Western
new_HF.185,POINT (83.57 28.28),3878,Mulpani SHP,baglung,BAGLUNG MUNICIPALITY,7,28.28,83.57,1610,Health Post,Hill,SHP,Western
new_HF.186,POINT (83.16 28.33),5078,Prayoshala Prashikshan Poly Clinic,baglung,BURTIWANG,1,28.33,83.16,1116,Private Clinics,Hill,Private clinics,Western
new_HF.187,POINT (83.6 28.27),5079,Satal Polyclinic,baglung,BAGLUNG MUNICIPALITY,2,28.27,83.6,968,Private Clinics,Hill,Private clinics,Western
new_HF.188,POINT (83.6 28.28),5080,Baglung Ankha Upachar Kendra,baglung,BAGLUNG MUNICIPALITY,11,28.28,83.6,977,Other NGO Health Facility,Hill,Other HFs,Western
